,song_name,artist_name,song_popularity,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence
186,Wherever You Will Go,The Calling,67,209360,0.0392,0.551,0.696,0.0,2,0.127,-6.192,1,0.0265,112.024,4,0.354
187,You Found Me,The Fray,76,241853,0.0187,0.33799999999999997,0.8029999999999999,0.0,8,0.136,-5.412000000000001,0,0.0413,151.994,4,0.4
191,The Anthem,Good Charlotte,73,175093,0.006659999999999999,0.494,0.9390000000000001,0.0,1,0.139,-3.127,1,0.126,177.75099999999998,4,0.893
196,The Great Escape,Boys Like Girls,67,206520,0.0016600000000000002,0.423,0.94,0.0,1,0.17800000000000002,-4.012,0,0.0635,149.934,4,0.505
202,La Camisa Negra,Juanes,29,216706,0.0838,0.7509999999999999,0.731,0.0,6,0.0556,-4.419,0,0.0308,97.007,4,0.973
204,Suavemente,Elvis Crespo,63,267000,0.254,0.8109999999999999,0.88,0.00146,8,0.0475,-2.972,1,0.0628,124.12,4,0.915
207,Conga,Miami Sound Machine,59,252933,0.141,0.782,0.8740000000000001,0.0584,2,0.11199999999999999,-7.157,1,0.0474,123.179,4,0.8590000000000001
215,Let's Get Loud,Jennifer Lopez,70,239400,0.135,0.82,0.937,0.000128,5,0.35,-4.81,0,0.0551,130.993,4,0.9059999999999999
216,Oye Como Va,Tito Puente,56,272546,0.743,0.696,0.728,0.0537,7,0.0835,-6.937,1,0.034,124.09200000000001,4,0.963
218,Bamboleo,Gipsy Kings,54,203173,0.414,0.6709999999999999,0.884,0.00015,6,0.0701,-9.267000000000001,0,0.0586,119.574,4,0.9329999999999999
220,Gasolina,Daddy Yankee,77,192600,0.332,0.857,0.8009999999999999,1.2e-06,0,0.0789,-6.499,1,0.0618,96.009,4,0.753
222,De Música Ligera,Soda Stereo,51,212893,0.00487,0.542,0.7140000000000001,0.298,2,0.33399999999999996,-8.045,1,0.027999999999999997,124.26,4,0.76
224,La Bamba,Los Lobos,57,172733,0.0699,0.348,0.7509999999999999,0.0007379999999999999,0,0.20800000000000002,-12.823,1,0.0494,156.509,4,0.8859999999999999
237,Chan Chan,Buena Vista Social Club,7,257213,0.83,0.507,0.423,0.00916,2,0.0973,-14.187000000000001,0,0.0332,82.809,4,0.701
238,Amigo,Roberto Carlos,41,208866,0.259,0.613,0.489,0.0,11,0.0696,-13.509,0,0.0503,145.278,4,0.898
243,Mediterraneo,Joan Manuel Serrat,60,205226,0.599,0.545,0.59,0.0,9,0.0916,-7.257000000000001,0,0.0813,100.835,3,0.583
261,Fortunate Son,Creedence Clearwater Revival,81,140773,0.201,0.64,0.6629999999999999,0.00806,0,0.152,-7.516,1,0.0374,132.77,4,0.6629999999999999
264,Louie Louie,The Kingsmen,68,165381,0.102,0.623,0.7090000000000001,0.0,1,0.0967,-9.818,0,0.0636,122.39399999999999,4,0.948
267,Evil Ways,Santana,59,238266,0.22,0.7040000000000001,0.528,0.35,5,0.14,-13.382,1,0.0358,117.47200000000001,4,0.73
268,Purple Haze,Jimi Hendrix,71,170813,0.008759999999999999,0.5329999999999999,0.905,0.578,2,0.0698,-5.27,1,0.0754,108.9,4,0.486
274,Light My Fire,The Doors,71,429760,0.369,0.413,0.725,2.1600000000000003e-05,3,0.0905,-5.787000000000001,0,0.0324,124.618,4,0.44
275,Pinball Wizard,The Who,69,180943,0.0192,0.537,0.716,0.0,2,0.245,-8.766,1,0.038,122.87299999999999,4,0.452
280,The Twist,Chubby Checker,60,153760,0.20199999999999999,0.5329999999999999,0.638,0.0,4,0.0729,-7.13,1,0.0341,156.66299999999998,4,0.937
281,Sunshine Of Your Love,Cream,72,250000,0.475,0.684,0.48100000000000004,6.57e-05,2,0.11800000000000001,-12.59,1,0.0384,115.07799999999999,4,0.784
283,Proud Mary,Creedence Clearwater Revival,30,187213,0.13,0.6990000000000001,0.6409999999999999,0.000218,2,0.0601,-7.564,1,0.0289,120.745,4,0.728
285,Summertime Blues,Blue Cheer,37,226906,0.462,0.456,0.514,0.00037,7,0.268,-9.732999999999999,0,0.053,138.377,4,0.657
